id,ar,latin,tr,siga
1,نَصَرَ,NASARA,Yardım etti,Fi’l-i mâzî
2,يَنْصُرُ,Yensuru,"Yardım ediyor, eder, edecek",Fi’l-i muzârî
3,نَصْرًا,Nasran,Yardım etmek,Masdar-ı gayr-i mimî
4,نَاصِرٌ,Nasirun,Yardım edici / eden,İsm-i fâil
5,مَنْصُورٌ,Mensurun,Yardım edilen,İsm-i mef’ûl
6,لَمْ يَنْصُرْ,Lemyensur,Yardım etmedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَنْصُرْ,Lemmayensur,Henüz yardım etmedi,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَنْصُرُ,Mayensuru,Yardım etmiyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَنْصُرُ,Layensuru,Yardım etmeyecek,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَنْصُرَ,Lenyensura,Elbette yardım etmeyecek,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَنْصُرْ,Liyensur,Yardım etsin,Emr-i gâib
12,لَا يَنْصُرْ,Layensur,Yardım etmesin,Nehy-i gâib
13,اُنْصُرْ,Unsur,Yardım et,Emr-i hâzır
14,لَا تَنْصُرْ,Latensur,Yardım etme,Nehy-i hâzır
15,مَنْصَرٌ,Mensarun,Yardım e.zam.mek.y.etmek,"İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِنْصَرٌ,Minsarun,Yardım etme aleti,İsm-i âlet
17,نَصْرَةً,Nasraten,Bir kere yardım etmek,Masdar binâ-i merra
18,نِصْرَةً,Nisraten,Bir türlü yardım etmek,Masdar binâ-i nevi
19,نُصَيْرٌ,Nusayrun,Yardım etmecik,İsm-i tasğîr
20,نَصْرِىٌّ,Nasriyyun,Yardıma etmeye mensup,İsm-i mensûb
21,نَصَّارٌ,Nassarun,Çok çok yardım eden,Mübâlağa-i ism-i fâil
22,اَنْصَرُ,Ensaru,Ziyade yardım edici,İsm-i tafdîl
23,مَا اَنْصَرَهُ,Maensarahu,Acayip yardım etti,Fi’l-i taaccüb-i evvel
24,وَأَنْصِرْبِهِ,Veensirbihi,Ne acayip yardım etti,Fi’l-i taaccüb-i sânî
1,عَلِمَ,ALİME,Bildi,Fi’l-i mâzî
2,يَعْلَمُ,Yağlemu,"Biliyor,bilir,bilecek",Fi’l-i muzârî
3,عِلْمًا,İlmen,Bilmek,Masdar-ı gayr-i mimî
4,عَالِمٌ,Alimun,Bilen,İsm-i fâil
5,مَعْلُومٌ,Mağlumun,Bilinen,İsm-i mef’ûl
6,لَمْ يَعْلَمْ,Lemyağlem,Bilmedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَعْلَمْ,Lemmayağlem,Henüz bilmedi,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَعْلَمُ,Mayağlemu,Bilmiyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَعْلَمُ,Layağlemu,Bilmeyecek,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَعْلَمَ,Lenyağleme,Elbette bilmeyecek,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَعْلَمْ,Liyağlem,Bilsin,Emr-i gâib
12,لَا يَعْلَمْ,Layağlem,Bilmesin,Nehy-i gâib
13,اِعْلَمْ,İğlem,Bil,Emr-i hâzır
14,لَا تَعْلَمْ,Latağlem,Bilme,Nehy-i hâzır
15,مَعْلَمٌ,Mağlemun,"Bilme zamanı,mekanı,bilmek","İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِعْلَمٌ,Miğlemun,Bilme aleti,İsm-i âlet
17,عَلْمَةً,Almeten,Bir kere bilmek,Masdar binâ-i merra
18,عِلْمَةً,İlmeten,Bir türlü bilmek,Masdar binâ-i nevi
19,عُلَيْمٌ,Uleymun,Bilmecik,İsm-i tasğîr
20,عِلْمِيٌّ,İlmiyyun,"Bilmeye mensup,ait",İsm-i mensûb
21,عَلَّمٌ,Allamun,Çok çok bilen,Mübâlağa-i ism-i fâil
22,اَعْلَمُ,Ağlemu,Ziyade bilen,İsm-i tafdîl
23,مَا اَعْلَمَهُ,Maağlemehu,Acayip bildi,Fi’l-i taaccüb-i evvel
24,وَأَعْلِمْ بِهِ,Veağlimbihi,Ne acayip bildi,Fi’l-i taaccüb-i sânî
1,كَتَبَ,KETEBE,Yazdı,Fi’l-i mâzî
2,يَكْتُبُ,Yektubu,"Yazıyor,yazar,yazacak",Fi’l-i muzârî
3,كِتَابَةً,Kitabeten,Yazmak,Masdar-ı gayr-i mimî
4,كَاتِبٌ,Katibun,Yazan,İsm-i fâil
5,مَكْتُوبٌ,Mektubun,Yazılan,İsm-i mef’ûl
6,لَمْ يَكْتُبْ,Lemyektub,Yazmadı,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَكْتُبْ,Lemmayektub,Henüz yazmadı,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَكْتُبُ,Mayektubu,Yazmıyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَكْتُبُ,Layektubu,Yazmayacak,Fi’l-i muzârî nefy-i istikbâl
